class age sex survived
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man yes
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
1st_class adults man no
